country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap
FIN,2014,46161.7,0.2024116147503347,3691.4,6.377217393475217,100.0,5210.776114,5841.598208,0.4722815898878175,0.413560207519414,274862826772.15152,49420.0,5461512,4651843,7.460265227549442,8.452183204943978
FIN,2015,42815.4,0.18386164448376185,3613.9,7.455255505912498,100.0,5125.089219,5819.758209,0.3880597113386705,0.329383885818507,234534382384.7655,47180.0,5479531,4669930,7.4805040966075484,7.813697924147157
FIN,2016,45700.3,0.1850751007663742,3573.3,2.128191378780644,100.0,5024.84862,5750.738048,0.34608656772384194,0.287421401687637,240771351298.83994,45530.0,5495303,4686120,7.4857688131354685,8.316247529936021
FIN,2017,43015.4,0.16416432679395954,3957.9,6.708099959966808,100.0,4902.844473,5798.178411,0.29328796080298314,0.234670531705453,255647979916.47333,44840.0,5508214,4699884,7.469070808107396,7.809318955291134
FIN,2018,44395.5,0.16234967807608947,3052.7,-3.8343823019428283,100.0,4745.952825,5831.641973,0.19942296826627376,0.132641040791912,275708001767.838,48210.0,5515525,4709266,7.475651487233483,8.049188427212279
FIN,2019,40987.1,0.14326995709586504,4257.5,5.81407868801815,100.0,4639.851178,6008.999936,0.1851016152668161,0.110191690491055,268514916972.5438,49940.0,5521606,4717991,7.481985983614649,7.423039601159517
ISL,2015,2057.5,0.12640962848714016,3186.8,6.540809928466029,100.0,561.155526,382.09564,1.077160782955757,1.04194038662969,17517210519.091156,49940.0,330815,309974,18.673316708229425,6.219488233604885
ISL,2016,1633.0,0.09102862987720493,3212.6,-5.128063967363606,100.0,548.744758,376.424123,1.4253970525395463,1.38808149583838,20793168030.952427,54910.0,335439,314424,18.673316708229425,4.868247281920111
ISL,2017,1671.0,0.08745825503136341,3523.8,-28.307231701280482,100.0,541.942207,388.843658,2.3858840231443454,2.34558267643862,24728285177.460316,60230.0,343400,322016,18.673316708229425,4.866045428072218
ISL,2018,1699.3,0.08422861535062152,2600.0,-2.3712803372988835,100.0,535.679655,379.487992,2.720893703628666,2.67814276922904,26260850582.06868,67770.0,352721,330898,18.56590300505802,4.817688768176547
